ATM_ID,Date,Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Weather_Condition,Cash_Demand_Next_Day
ATM_0041,4/25/2022,Monday,Morning,57450,9308,0,0,112953,Rainy,44165
ATM_0007,11/24/2023,Friday,Morning,72845,17896,0,0,115348,Clear,41249
ATM_0014,8/27/2022,Saturday,Morning,42957,12712,0,0,90731,Cloudy,29901
ATM_0029,8/27/2023,Sunday,Evening,43014,1375,0,0,88754,Rainy,44155
ATM_0028,12/15/2022,Thursday,Evening,36379,2938,0,0,129312,Snowy,29784
ATM_0006,1/25/2023,Wednesday,Morning,46613,7278,1,0,102218,Snowy,49358
ATM_0047,4/16/2023,Sunday,Morning,40990,8541,0,0,87965,Snowy,28407
ATM_0040,1/6/2023,Friday,Afternoon,77784,14112,0,0,75583,Rainy,61200
ATM_0006,8/27/2022,Saturday,Morning,30077,10984,0,0,114769,Snowy,18557
ATM_0024,12/30/2022,Friday,Afternoon,52570,9421,0,0,93977,Clear,44240
ATM_0041,6/25/2022,Saturday,Afternoon,43090,15285,0,0,106872,Snowy,23127
ATM_0045,7/25/2023,Tuesday,Afternoon,23554,6615,0,0,112233,Clear,12890
ATM_0003,11/20/2022,Sunday,Night,65464,14656,0,0,83215,Snowy,63076
ATM_0042,5/27/2023,Saturday,Night,45361,7604,0,0,96286,Rainy,36893
ATM_0048,7/29/2023,Saturday,Evening,62187,16781,0,0,98559,Cloudy,38349
ATM_0015,5/22/2022,Sunday,Night,65052,11806,0,0,130760,Clear,63284
ATM_0041,6/13/2022,Monday,Night,10703,14109,0,0,101740,Cloudy,0
ATM_0030,6/26/2023,Monday,Evening,45514,8901,0,0,107142,Clear,36069
ATM_0047,4/28/2022,Thursday,Evening,37872,7491,0,0,118308,Cloudy,38027
ATM_0030,1/4/2022,Tuesday,Evening,54931,10485,0,0,119372,Clear,51745
ATM_0020,10/17/2023,Tuesday,Afternoon,39469,8361,0,0,92157,Rainy,36710
ATM_0050,6/28/2023,Wednesday,Morning,28047,10025,0,0,95308,Clear,20994
ATM_0024,11/11/2022,Friday,Afternoon,44859,5988,0,0,96774,Clear,40097
ATM_0047,5/13/2023,Saturday,Morning,56060,11287,0,0,98511,Rainy,59365
ATM_0031,7/17/2023,Monday,Afternoon,21218,9867,0,0,101204,Cloudy,11103
ATM_0035,12/8/2023,Friday,Afternoon,86948,9038,0,0,106030,Snowy,67866
ATM_0034,4/8/2023,Saturday,Morning,67142,13759,0,0,115820,Snowy,52361
ATM_0038,7/22/2023,Saturday,Afternoon,36359,12934,0,0,143809,Clear,18531
ATM_0041,3/2/2022,Wednesday,Afternoon,35141,7168,0,1,101993,Snowy,40993
ATM_0033,9/1/2022,Thursday,Evening,42447,2246,0,0,101371,Rainy,43593
ATM_0037,8/14/2023,Monday,Night,36208,17749,0,0,84334,Cloudy,25698
ATM_0007,4/10/2022,Sunday,Night,45169,14067,0,0,75382,Cloudy,39961
ATM_0004,11/21/2023,Tuesday,Morning,25887,10923,0,0,105197,Snowy,16851
ATM_0016,7/16/2022,Saturday,Afternoon,61727,12609,0,0,105939,Cloudy,60063
ATM_0018,4/19/2023,Wednesday,Afternoon,39799,11161,0,0,105861,Clear,25441
ATM_0042,7/8/2023,Saturday,Morning,39284,19328,0,1,109476,Rainy,36840
ATM_0027,5/13/2023,Saturday,Night,35379,13935,0,0,123171,Clear,24612
ATM_0025,1/3/2022,Monday,Night,37689,14110,0,1,137935,Cloudy,28914
ATM_0028,12/15/2023,Friday,Night,36657,5920,0,0,98457,Rainy,37577
ATM_0038,7/10/2023,Monday,Morning,55117,10065,0,0,129070,Cloudy,49301
ATM_0034,6/11/2022,Saturday,Morning,59385,5714,0,0,78582,Rainy,64265
ATM_0039,3/11/2022,Friday,Afternoon,57237,8882,0,0,114280,Rainy,37579
ATM_0039,2/10/2022,Thursday,Morning,57098,9635,0,0,83064,Snowy,58773
ATM_0014,11/17/2023,Friday,Evening,27277,11070,0,0,75085,Rainy,22648
ATM_0042,11/4/2022,Friday,Night,36742,10768,0,1,101164,Clear,39915
ATM_0030,9/29/2023,Friday,Morning,32855,15415,0,0,121076,Snowy,21038
ATM_0023,3/12/2022,Saturday,Afternoon,57725,12568,0,0,110300,Cloudy,54244
ATM_0046,11/6/2022,Sunday,Morning,107790,14770,0,0,113027,Clear,114724
ATM_0017,4/29/2022,Friday,Morning,38407,8815,0,0,90292,Snowy,31079
ATM_0014,12/18/2022,Sunday,Afternoon,51228,13431,0,0,67745,Snowy,34641
ATM_0006,10/12/2023,Thursday,Night,42921,15444,0,0,101285,Snowy,38167
ATM_0041,9/26/2022,Monday,Afternoon,33833,6348,0,0,104329,Cloudy,22905
ATM_0001,4/25/2022,Monday,Morning,82159,13169,0,0,59497,Snowy,83492
ATM_0036,6/1/2022,Wednesday,Night,52796,6037,0,0,97705,Snowy,36847
ATM_0023,8/4/2022,Thursday,Afternoon,57574,14328,0,0,75994,Cloudy,40705
ATM_0048,6/8/2022,Wednesday,Afternoon,44982,18827,0,1,108099,Rainy,42815
ATM_0002,7/3/2022,Sunday,Evening,81832,15162,0,0,69612,Rainy,63791
ATM_0011,12/20/2023,Wednesday,Morning,42736,12219,0,0,115492,Cloudy,35587
ATM_0013,4/17/2023,Monday,Evening,1380,4878,0,0,94948,Rainy,0
ATM_0002,11/7/2023,Tuesday,Afternoon,31283,7799,0,0,102614,Clear,23373
ATM_0023,10/19/2023,Thursday,Night,67447,10051,0,0,80369,Clear,47607
ATM_0017,7/2/2022,Saturday,Evening,56931,10349,0,0,92293,Cloudy,58803
ATM_0047,11/18/2022,Friday,Night,73790,3810,0,1,142660,Clear,91179
ATM_0037,7/14/2022,Thursday,Evening,20718,11404,0,0,87546,Clear,9643
ATM_0035,12/5/2023,Tuesday,Afternoon,41159,14248,0,0,107140,Snowy,29906
ATM_0021,11/11/2023,Saturday,Morning,39606,14064,0,0,112592,Cloudy,27873
ATM_0026,12/15/2023,Friday,Evening,61209,13051,0,0,99581,Cloudy,46483
ATM_0025,11/25/2023,Saturday,Afternoon,51759,12735,0,0,95956,Cloudy,50080
ATM_0001,11/8/2022,Tuesday,Evening,62381,14067,0,0,126109,Snowy,44558
ATM_0029,3/29/2023,Wednesday,Afternoon,50315,11620,0,0,97397,Rainy,50242
ATM_0006,10/18/2022,Tuesday,Evening,37726,20461,0,0,79879,Rainy,22401
ATM_0020,8/19/2022,Friday,Afternoon,31787,13120,0,0,112566,Rainy,16785
ATM_0040,3/16/2022,Wednesday,Night,51137,6614,0,0,119502,Rainy,44393
ATM_0045,1/29/2023,Sunday,Night,47794,12064,0,0,88725,Clear,43412
ATM_0050,3/12/2023,Sunday,Afternoon,53674,7465,0,0,90579,Cloudy,37345
ATM_0036,9/13/2022,Tuesday,Morning,53480,2759,0,0,71850,Cloudy,57485
ATM_0034,7/27/2023,Thursday,Evening,39223,8932,0,0,106218,Cloudy,29520
ATM_0029,6/12/2022,Sunday,Night,72130,9904,0,0,79949,Rainy,50758
ATM_0018,6/18/2023,Sunday,Night,54840,5863,0,0,110386,Clear,60947
ATM_0019,8/29/2022,Monday,Evening,72991,13450,0,0,91975,Clear,51718
ATM_0010,8/25/2022,Thursday,Night,53361,10062,0,0,101953,Clear,55715
ATM_0027,12/5/2022,Monday,Night,38404,17255,0,0,119185,Cloudy,23663
ATM_0050,8/22/2023,Tuesday,Morning,63084,10916,0,0,143796,Clear,50981
ATM_0020,2/4/2023,Saturday,Night,37875,0,0,0,89484,Rainy,39142
ATM_0015,10/7/2022,Friday,Night,55126,19380,0,0,119008,Snowy,47933
ATM_0044,2/19/2023,Sunday,Afternoon,41346,3398,0,1,136629,Clear,52332
ATM_0038,8/1/2023,Tuesday,Morning,67691,7654,0,0,65737,Rainy,73364
ATM_0012,2/21/2022,Monday,Evening,70308,9427,0,0,124756,Cloudy,61910
ATM_0022,1/24/2023,Tuesday,Evening,50078,10234,1,0,90998,Clear,48309
ATM_0002,7/7/2023,Friday,Morning,59342,10601,0,0,110288,Clear,44039
ATM_0003,2/1/2022,Tuesday,Afternoon,26988,16388,0,0,106646,Rainy,12684
ATM_0009,4/30/2023,Sunday,Morning,38772,15896,0,1,101350,Cloudy,34170
ATM_0017,1/13/2023,Friday,Afternoon,46265,14857,0,0,112907,Clear,41031
ATM_0020,4/21/2022,Thursday,Morning,70529,15292,0,0,64825,Cloudy,56498
ATM_0046,7/23/2022,Saturday,Morning,45958,13587,0,0,130047,Rainy,33036
